"logicalRoot","relativePath","filename","extension","byteSize","sizeMB","modifiedAt","gitTracked","gitIgnored","ignoreRule","sha256Status","sha256"
"GRIDLY_SOURCE_DATA_REPO","National-Address-Database/extracted/NAD_r23.gdb/a0000000b.gdbtable","a0000000b.gdbtable",".gdbtable","34158923037","32576.488","2026-07-01T01:50:52.0000000Z","False","False",,"NOT_CALCULATED",
"GRIDLY_SOURCE_DATA_REPO","National-Address-Database/NAD_r23.zip","NAD_r23.zip",".zip","9733944292","9283.013","2026-07-29T22:38:39.6783092Z","False","False",,"CALCULATED","611dc018fc110f2069a7bfa086559689c1d85ba18818d6efbc2281e34999b4c1"
"GRIDLY_SOURCE_DATA_REPO","Texas-Address-Points/Raw/Texas-2026.gdb/a0000000b.gdbtable","a0000000b.gdbtable",".gdbtable","1507363786","1437.534","2026-07-30T21:33:06.5696670Z","False","False",,"NOT_CALCULATED",
"GRIDLY_SOURCE_DATA_REPO","National-Address-Database/extracted/NAD_r23.gdb/a0000000b.spx","a0000000b.spx",".spx","1183248406","1128.434","2026-07-01T01:50:52.0000000Z","False","False",,"NOT_CALCULATED",
"GRIDLY_SOURCE_DATA_REPO","OpenStreetMap/Regional/texas-260625.osm.pbf","texas-260625.osm.pbf",".pbf","707715853","674.93","2026-06-26T14:29:23.0444337Z","False","False",,"CALCULATED","1d80efe1b19b075d036363d722366870df3efb7fbd4a45dc9f16797868ff4413"
"GRIDLY_SOURCE_DATA_REPO","National-Address-Database/extracted/NAD_r23.gdb/a0000000b.gdbtablx","a0000000b.gdbtablx",".gdbtablx","489663776","466.98","2026-07-01T01:50:38.0000000Z","False","False",,"NOT_CALCULATED",
"GRIDLY_SOURCE_DATA_REPO","OpenStreetMap/Community-Packages/harris-roads-raw.geojson","harris-roads-raw.geojson",".geojson","183680032","175.171","2026-06-26T22:44:53.5878824Z","False","False",,"CALCULATED","c729a0ec205c07922eb971ba15960df8f9b54e5a2765fd62b87428df5262579c"
"GRIDLY_SOURCE_DATA_REPO","Texas-Address-Points/Raw/Texas-2026.gdb/a0000000b.spx","a0000000b.spx",".spx","146722838","139.926","2026-07-30T21:33:07.8794906Z","False","False",,"NOT_CALCULATED",
"GRIDLY_SOURCE_DATA_REPO","Census/tl_2025_us_county/tl_2025_us_county.shp","tl_2025_us_county.shp",".shp","132270192","126.143","2026-06-26T16:36:03.0129450Z","False","False",,"CALCULATED","d2add252ccd38f1c46efaba677efe0d20cdd9bf1f3ff7af7ce84fe06a3205df7"
"GRIDLY_SOURCE_DATA_REPO","Census/tl_2025_us_county.zip","tl_2025_us_county.zip",".zip","83989800","80.099","2026-06-19T14:59:35.5566107Z","False","False",,"CALCULATED","9c6e9d9076abce2670d1de255de3710c35ecca00a7005d88e012dec52d95f763"
"GRIDLY_SOURCE_DATA_REPO","Texas-Address-Points/Liberty/shp/stratmap-2026-address-points-liberty_48291.dbf","stratmap-2026-address-points-liberty_48291.dbf",".dbf","77333242","73.751","2026-07-30T21:24:00.0223327Z","False","False",,"CALCULATED","2a9e04aa4286a641a0264b37f3ddbfb69ea9e23d6c12f70ec400af2294159b9a"
"GRIDLY_SOURCE_DATA_REPO","FRA/Raw/fra-crossings-tx-raw.geojson","fra-crossings-tx-raw.geojson",".geojson","68229691","65.069","2026-06-27T16:05:12.4870034Z","False","False",,"CALCULATED","d5da727edfefc95e2d36b6d73a3653cfea71d7a46ee9322efc8f23d38c1bdbb9"
