county_id,place_geoid,pass,failed_checks
bexar-tx,4814920,true,
guadalupe-tx,4814920,true,
val-verde-tx,4814927,true,
fort-bend-tx,4814929,true,
harris-tx,4814929,true,
bastrop-tx,4814986,true,
eastland-tx,4815004,true,
hidalgo-tx,4815028,true,
donley-tx,4815112,true,
red-river-tx,4815160,true,
gregg-tx,4815172,true,
upshur-tx,4815172,true,
armstrong-tx,4815196,true,
burleson-tx,4815232,true,
galveston-tx,4815328,true,
johnson-tx,4815364,true,
liberty-tx,4815436,true,
montgomery-tx,4815436,true,
san-jacinto-tx,4815436,true,
bosque-tx,4815472,true,
el-paso-tx,4815544,true,
harris-tx,4815628,true,
brazoria-tx,4815652,true,
callahan-tx,4815676,true,
howard-tx,4815700,true,
dallas-tx,4815796,true,
henderson-tx,4815820,true,
san-jacinto-tx,4815892,true,
coleman-tx,4815916,true,
brazos-tx,4815976,true,
tarrant-tx,4815988,true,
grayson-tx,4816036,true,
tyler-tx,4816048,true,
webb-tx,4816110,true,
mitchell-tx,4816120,true,
colorado-tx,4816168,true,
comanche-tx,4816192,true,
cameron-tx,4816204,true,
dallas-tx,4816216,true,
kaufman-tx,4816216,true,
kendall-tx,4816228,true,
hunt-tx,4816240,true,
hopkins-tx,4816252,true,
duval-tx,4816300,true,
montgomery-tx,4816432,true,
bexar-tx,4816468,true,
parker-tx,4816540,true,
limestone-tx,4816552,true,
delta-tx,4816564,true,
dallas-tx,4816612,true,
denton-tx,4816612,true,
bell-tx,4816624,true,
coryell-tx,4816624,true,
lampasas-tx,4816624,true,
denton-tx,4816636,true,
denton-tx,4816696,true,
aransas-tx,4817000,true,
kleberg-tx,4817000,true,
nueces-tx,4817000,true,
san-patricio-tx,4817000,true,
denton-tx,4817021,true,
polk-tx,4817036,true,
navarro-tx,4817060,true,
kaufman-tx,4817200,true,
burnet-tx,4817208,true,
la-salle-tx,4817216,true,
williamson-tx,4817312,true,
chambers-tx,4817336,true,
hill-tx,4817372,true,
pecos-tx,4817408,true,
jim-wells-tx,4817426,true,
johnson-tx,4817429,true,
kaufman-tx,4817504,true,
crane-tx,4817516,true,
bosque-tx,4817540,true,
mclennan-tx,4817564,true,
hays-tx,4817612,true,
travis-tx,4817612,true,
hood-tx,4817648,true,
johnson-tx,4817648,true,
parker-tx,4817648,true,
houston-tx,4817744,true,
harris-tx,4817756,true,
crosby-tx,4817768,true,
bexar-tx,4817811,true,
callahan-tx,4817816,true,
denton-tx,4817852,true,
johnson-tx,4817917,true,
foard-tx,4817948,true,
johnson-tx,4817960,true,
tarrant-tx,4817960,true,
zavala-tx,4818020,true,
dewitt-tx,4818092,true,
hidalgo-tx,4818104,true,
hopkins-tx,4818128,true,
fort-bend-tx,4818134,true,
cherokee-tx,4818152,true,
nacogdoches-tx,4818224,true,
montgomery-tx,4818260,true,
morris-tx,4818464,true,
liberty-tx,4818476,true,
dallam-tx,4818524,true,
hartley-tx,4818524,true,
collin-tx,4819000,true,
dallas-tx,4819000,true,
denton-tx,4819000,true,
kaufman-tx,4819000,true,
rockwall-tx,4819000,true,
tarrant-tx,4819084,true,
brazoria-tx,4819108,true,
brazoria-tx,4819120,true,
lipscomb-tx,4819288,true,
navarro-tx,4819420,true,
liberty-tx,4819432,true,
liberty-tx,4819435,true,
clay-tx,4819456,true,
burleson-tx,4819492,true,
wise-tx,4819528,true,
hood-tx,4819570,true,
harris-tx,4819624,true,
montgomery-tx,4819632,true,
bowie-tx,4819648,true,
comanche-tx,4819672,true,
hudspeth-tx,4819708,true,
cameron-tx,4819714,true,
starr-tx,4819732,true,
val-verde-tx,4819792,true,
san-patricio-tx,4819808,true,
grayson-tx,4819900,true,
parker-tx,4819924,true,
denton-tx,4819972,true,
gaines-tx,4819984,true,
yoakum-tx,4819984,true,
lamar-tx,4820020,true,
red-river-tx,4820020,true,
dallas-tx,4820092,true,
red-river-tx,4820128,true,
liberty-tx,4820140,true,
medina-tx,4820152,true,
newton-tx,4820212,true,
medina-tx,4820248,true,
angelina-tx,4820308,true,
dickens-tx,4820332,true,
galveston-tx,4820344,true,
frio-tx,4820428,true,
lee-tx,4820452,true,
castro-tx,4820464,true,
denton-tx,4820540,true,
fannin-tx,4820680,true,
collingsworth-tx,4820716,true,
hidalgo-tx,4820734,true,
cass-tx,4820848,true,
hidalgo-tx,4820884,true,
hidalgo-tx,4820926,true,
grayson-tx,4820932,true,
denton-tx,4821028,true,
burnet-tx,4821031,true,
cass-tx,4821112,true,
hays-tx,4821412,true,
hays-tx,4821424,true,
nueces-tx,4821436,true,
erath-tx,4821484,true,
moore-tx,4821556,true,
dallas-tx,4821628,true,
colorado-tx,4821844,true,
maverick-tx,4821892,true,
brown-tx,4821904,true,
lamb-tx,4821928,true,
starr-tx,4821958,true,
wharton-tx,4821988,true,
brazoria-tx,4822000,true,
eastland-tx,4822132,true,
gregg-tx,4822168,true,
upshur-tx,4822168,true,
gregg-tx,4822192,true,
rusk-tx,4822192,true,
rains-tx,4822276,true,
fannin-tx,4822516,true,
hidalgo-tx,4822528,true,
concho-tx,4822552,true,
tarrant-tx,4822588,true,
san-patricio-tx,4822593,true,
van-zandt-tx,4822612,true,
hidalgo-tx,4822660,true,
hale-tx,4822708,true,
jackson-tx,4822720,true,
van-zandt-tx,4822744,true,
san-patricio-tx,4822768,true,
maverick-tx,4822810,true,
throckmorton-tx,4822840,true,
starr-tx,4822853,true,
cameron-tx,4822858,true,
wharton-tx,4822864,true,
starr-tx,4822892,true,
starr-tx,4822898,true,
webb-tx,4822905,true,
starr-tx,4822920,true,
schleicher-tx,4822960,true,
wichita-tx,4822984,true,
bastrop-tx,4823044,true,
travis-tx,4823044,true,
starr-tx,4823062,true,
maverick-tx,4823080,true,
anderson-tx,4823140,true,
harris-tx,4823164,true,
fayette-tx,4823176,true,
maverick-tx,4823254,true,
bexar-tx,4823272,true,
wilson-tx,4823272,true,
starr-tx,4823278,true,
kaufman-tx,4823356,true,
starr-tx,4823398,true,
el-paso-tx,4824000,true,
starr-tx,4824013,true,
starr-tx,4824015,true,
starr-tx,4824018,true,
hidalgo-tx,4824036,true,
starr-tx,4824055,true,
smith-tx,4824158,true,
navarro-tx,4824168,true,
rains-tx,4824216,true,
cameron-tx,4824223,true,
henderson-tx,4824228,true,
la-salle-tx,4824240,true,
brooks-tx,4824252,true,
ellis-tx,4824348,true,
starr-tx,4824552,true,
hall-tx,4824636,true,
starr-tx,4824738,true,
tarrant-tx,4824768,true,
navarro-tx,4824816,true,
henderson-tx,4824828,true,
jasper-tx,4824840,true,
