"county_id","place_geoid","community","local_pass","certification_status","live_provider_status"
"burleson-tx","4807042","Beaver Creek","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"panola-tx","4807108","Beckville","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"tarrant-tx","4807132","Bedford","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"grimes-tx","4807144","Bedias","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"travis-tx","4807156","Bee Cave","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"bee-tx","4807192","Beeville","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"harris-tx","4807300","Bellaire","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"clay-tx","4807396","Bellevue","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"mclennan-tx","4807408","Bellmead","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"grayson-tx","4807420","Bells","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"austin-tx","4807432","Bellville","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"hays-tx","4807486","Belterra","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"bell-tx","4807492","Belton","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"milam-tx","4807516","Ben Arnold","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"duval-tx","4807528","Benavides","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"jim-wells-tx","4807540","Ben Bolt","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"tarrant-tx","4807552","Benbrook","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"knox-tx","4807636","Benjamin","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"starr-tx","4807642","Benjamin Perez","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"van-zandt-tx","4807708","Ben Wheeler","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"henderson-tx","4807852","Berryville","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"burnet-tx","4807864","Bertram","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"mclennan-tx","4808104","Beverly Hills","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"jefferson-tx","4808128","Bevil Oaks","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"frio-tx","4808164","Bigfoot","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"reagan-tx","4808212","Big Lake","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"upshur-tx","4808224","Big Sandy","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"howard-tx","4808236","Big Spring","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"liberty-tx","4808240","Big Thicket Lake Estates","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"polk-tx","4808240","Big Thicket Lake Estates","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"dimmit-tx","4808260","Big Wells","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"nueces-tx","4808392","Bishop","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"potter-tx","4808398","Bishop Hills","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"cass-tx","4808404","Bivins","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"cameron-tx","4808410","Bixby","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"coke-tx","4808488","Blackwell","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"nolan-tx","4808488","Blackwell","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"blanco-tx","4808536","Blanco","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"brown-tx","4808596","Blanket","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"cochran-tx","4808644","Bledsoe","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"matagorda-tx","4808668","Blessing","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"cass-tx","4808752","Bloomburg","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"navarro-tx","4808788","Blooming Grove","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"victoria-tx","4808800","Bloomington","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"lamar-tx","4808812","Blossom","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"bee-tx","4808830","Blue Berry Hill","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"tarrant-tx","4808860","Blue Mound","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"collin-tx","4808872","Blue Ridge","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"cameron-tx","4808908","Bluetown","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"erath-tx","4808932","Bluff Dale","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"hill-tx","4809004","Blum","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"kendall-tx","4809160","Boerne","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"red-river-tx","4809172","Bogata","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"wharton-tx","4809232","Boling","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"galveston-tx","4809250","Bolivar Peninsula","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"webb-tx","4809310","Bonanza Hills","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"fannin-tx","4809328","Bonham","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"brazoria-tx","4809388","Bonney","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"lipscomb-tx","4809448","Booker","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"ochiltree-tx","4809448","Booker","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"hutchinson-tx","4809556","Borger","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"webb-tx","4809598","Botines","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"parmer-tx","4809628","Bovina","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"montague-tx","4809640","Bowie","false","FAIL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"val-verde-tx","4809656","Box Canyon","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"wise-tx","4809748","Boyd","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"oldham-tx","4809796","Boys Ranch","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"kinney-tx","4809868","Brackettville","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"mcculloch-tx","4809916","Brady","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"brazoria-tx","4810072","Brazoria","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"palo-pinto-tx","4810084","Brazos","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"austin-tx","4810090","Brazos Country","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"stephens-tx","4810132","Breckenridge","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"robertson-tx","4810144","Bremond","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"washington-tx","4810156","Brenham","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"parker-tx","4810192","Briar","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"tarrant-tx","4810192","Briar","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"wise-tx","4810192","Briar","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"travis-tx","4810197","Briarcliff","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"johnson-tx","4810216","Briaroaks","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"orange-tx","4810252","Bridge City","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"wise-tx","4810264","Bridgeport","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"burnet-tx","4810276","Briggs","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"ellis-tx","4810336","Bristol","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"san-augustine-tx","4810384","Broaddus","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"coke-tx","4810528","Bronte","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"waller-tx","4810636","Brookshire","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"brazoria-tx","4810648","Brookside Village","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"lamar-tx","4810660","Brookston","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"jasper-tx","4810708","Browndell","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"terry-tx","4810720","Brownfield","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"henderson-tx","4810756","Brownsboro","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"cameron-tx","4810768","Brownsville","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
"brown-tx","4810780","Brownwood","true","CONDITIONAL","NEEDS_LIVE_PROVIDER_CONFIRMATION"
