statewide_count,TYPEXING,XPURPOSE,PRVCAT,POSXING,HIGHWAY_category,STREET_category,gridlyClassification
2,Private,1,14,RR Over,NAMED/UNSPECIFIED,PRIVATE+DRIVEWAY,PUBLIC_ROADWAY
2,Private,1,14,RR Over,PRIVATE,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
2,Private,1,14,RR Under,NAMED/UNSPECIFIED,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
2,Private,1,14,RR Under,PLACEHOLDER/UNKNOWN,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
2,Private,1,14,RR Under,PRIVATE,INDUSTRIAL,PUBLIC_ROADWAY
2,Private,1,19,At Grade,PLACEHOLDER/UNKNOWN,PRIVATE,PUBLIC_ROADWAY
2,Private,1,20,At Grade,PLACEHOLDER/UNKNOWN,SERVICE/ACCESS,PUBLIC_ROADWAY
2,Private,1,20,At Grade,PRIVATE,YARD/RAIL_ONLY+SERVICE/ACCESS,PUBLIC_ROADWAY
2,Private,1,20,RR Over,NAMED/UNSPECIFIED,PRIVATE+DRIVEWAY,PUBLIC_ROADWAY
2,Private,1,21,At Grade,PLACEHOLDER/UNKNOWN,PRIVATE+INDUSTRIAL,PUBLIC_ROADWAY
2,Private,1,21,RR Over,PLACEHOLDER/UNKNOWN,PRIVATE,PUBLIC_ROADWAY
2,Private,2,14,At Grade,NAMED/UNSPECIFIED,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
2,Private,2,14,At Grade,PLACEHOLDER/UNKNOWN,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
2,Private,3,14,At Grade,NAMED/UNSPECIFIED,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,1,14,At Grade,NAMED/UNSPECIFIED,DRIVEWAY,PUBLIC_ROADWAY
1,Private,1,14,At Grade,NAMED/UNSPECIFIED,FARM,PUBLIC_ROADWAY
1,Private,1,14,At Grade,NAMED/UNSPECIFIED,PRIVATE,PRIVATE_ROAD
1,Private,1,14,At Grade,NAMED/UNSPECIFIED,PRIVATE+FARM,PUBLIC_ROADWAY
1,Private,1,14,At Grade,NAMED/UNSPECIFIED,RESIDENTIAL,PUBLIC_ROADWAY
1,Private,1,14,At Grade,NAMED/UNSPECIFIED,SERVICE/ACCESS,PUBLIC_ROADWAY
1,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,COMMERCIAL,PUBLIC_ROADWAY
1,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,INDUSTRIAL+SERVICE/ACCESS,PUBLIC_ROADWAY
1,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,PRIVATE+INDUSTRIAL+SERVICE/ACCESS,PUBLIC_ROADWAY
1,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,PRIVATE+INDUSTRIAL+YARD/RAIL_ONLY,PUBLIC_ROADWAY
1,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,SERVICE/ACCESS,TEMPORARY_ACCESS
1,Private,1,14,At Grade,PRIVATE,PRIVATE+FARM,PRIVATE_ROAD
1,Private,1,14,At Grade,PRIVATE,PUBLIC_ROAD,PUBLIC_ROADWAY
1,Private,1,14,At Grade,PRIVATE,YARD/RAIL_ONLY,RAIL_YARD
1,Private,1,14,At Grade,PRIVATE+DRIVEWAY,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,1,14,At Grade,PRIVATE+DRIVEWAY,PRIVATE,PUBLIC_ROADWAY
1,Private,1,14,At Grade,PRIVATE+PUBLIC_ROAD,PRIVATE,PUBLIC_ROADWAY
1,Private,1,14,RR Over,BLANK,PRIVATE,PUBLIC_ROADWAY
1,Private,1,14,RR Over,NAMED/UNSPECIFIED,DRIVEWAY,PUBLIC_ROADWAY
1,Private,1,14,RR Over,PLACEHOLDER/UNKNOWN,SERVICE/ACCESS,PUBLIC_ROADWAY
1,Private,1,14,RR Over,PUBLIC_ROAD,PRIVATE,PUBLIC_ROADWAY
1,Private,1,14,RR Under,NAMED/UNSPECIFIED,PRIVATE,PUBLIC_ROADWAY
1,Private,1,15,At Grade,BLANK,SERVICE/ACCESS,PUBLIC_ROADWAY
1,Private,1,15,At Grade,DRIVEWAY,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,1,15,At Grade,PLACEHOLDER/UNKNOWN,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,1,15,At Grade,PRIVATE,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,1,15,RR Over,NAMED/UNSPECIFIED,DRIVEWAY,PUBLIC_ROADWAY
1,Private,1,19,At Grade,NAMED/UNSPECIFIED,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,1,19,At Grade,PLACEHOLDER/UNKNOWN,PLACEHOLDER/UNKNOWN,PUBLIC_ROADWAY
1,Private,1,19,At Grade,PRIVATE,PRIVATE+YARD/RAIL_ONLY,PUBLIC_ROADWAY
1,Private,1,19,At Grade,PUBLIC_ROAD,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,1,20,At Grade,FARM,PRIVATE,PUBLIC_ROADWAY
1,Private,1,20,At Grade,PLACEHOLDER/UNKNOWN,DRIVEWAY,PUBLIC_ROADWAY
1,Private,1,20,At Grade,PLACEHOLDER/UNKNOWN,INDUSTRIAL,PUBLIC_ROADWAY
1,Private,1,20,At Grade,PLACEHOLDER/UNKNOWN,PLACEHOLDER/UNKNOWN,PUBLIC_ROADWAY
1,Private,1,20,At Grade,PLACEHOLDER/UNKNOWN,PUBLIC_ROAD,PUBLIC_ROADWAY
1,Private,1,20,At Grade,PRIVATE,DRIVEWAY,PUBLIC_ROADWAY
1,Private,1,20,At Grade,PRIVATE,INDUSTRIAL,PUBLIC_ROADWAY
1,Private,1,20,At Grade,PRIVATE,SERVICE/ACCESS,PUBLIC_ROADWAY
1,Private,1,20,RR Over,PLACEHOLDER/UNKNOWN,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,1,20,RR Over,PRIVATE,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,1,20,RR Over,PRIVATE,PRIVATE,PUBLIC_ROADWAY
1,Private,1,21,At Grade,BLANK,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,1,21,At Grade,NAMED/UNSPECIFIED,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,1,21,At Grade,NAMED/UNSPECIFIED,PRIVATE,PUBLIC_ROADWAY
1,Private,1,21,At Grade,PLACEHOLDER/UNKNOWN,PLACEHOLDER/UNKNOWN,PUBLIC_ROADWAY
1,Private,1,21,At Grade,PRIVATE,DRIVEWAY,PUBLIC_ROADWAY
1,Private,1,21,At Grade,PRIVATE,PLACEHOLDER/UNKNOWN,PUBLIC_ROADWAY
1,Private,1,21,RR Under,NAMED/UNSPECIFIED,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,1,21,RR Under,PLACEHOLDER/UNKNOWN,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,1,22,At Grade,NAMED/UNSPECIFIED,PRIVATE,PUBLIC_ROADWAY
1,Private,1,22,At Grade,PLACEHOLDER/UNKNOWN,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,1,22,At Grade,PLACEHOLDER/UNKNOWN,PRIVATE+DRIVEWAY,PUBLIC_ROADWAY
1,Private,1,22,At Grade,PRIVATE,INDUSTRIAL,PUBLIC_ROADWAY
1,Private,1,22,RR Over,PLACEHOLDER/UNKNOWN,PRIVATE,PUBLIC_ROADWAY
1,Private,1,24,At Grade,PLACEHOLDER/UNKNOWN,DRIVEWAY,PUBLIC_ROADWAY
1,Private,1,24,At Grade,PRIVATE,PRIVATE+INDUSTRIAL,PUBLIC_ROADWAY
1,Private,2,14,At Grade,NAMED/UNSPECIFIED,PRIVATE,PUBLIC_ROADWAY
1,Private,2,14,RR Over,PLACEHOLDER/UNKNOWN,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,2,14,RR Under,NAMED/UNSPECIFIED,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,2,14,RR Under,PLACEHOLDER/UNKNOWN,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,2,15,RR Over,PLACEHOLDER/UNKNOWN,PRIVATE,PUBLIC_ROADWAY
1,Private,2,15,RR Under,NAMED/UNSPECIFIED,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,2,20,RR Under,NAMED/UNSPECIFIED,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,2,22,RR Under,PLACEHOLDER/UNKNOWN,PRIVATE,PUBLIC_ROADWAY
1,Private,2,24,At Grade,NAMED/UNSPECIFIED,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
1,Private,3,14,At Grade,NAMED/UNSPECIFIED,INDUSTRIAL,PUBLIC_ROADWAY
1,Private,3,14,At Grade,YARD/RAIL_ONLY,YARD/RAIL_ONLY,PUBLIC_ROADWAY
1,Private,3,20,At Grade,PRIVATE,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
